brand_id,brand_name,brand_alias,category,origin country
1,Chanel,Coco Chanel,"Luxury fashion, accessories",France
2,Louis Vuitton,"LV, Louie V, LouisVuitton, Vuitton",Luxury fashion,France
3,Gucci,"Gucci Gang, G-House, G House",Luxury fashion,Italy
4,Prada,Prada Gang,Luxury fashion,Italy
5,Dior,Christian Dior,"Luxury fashion, accessories",France
6,Hermes,"Hermes Birkin, H-House, Birkin","Ultra-luxury fashion, leather goods",France
7,Yves Saint Laurent,"YSL, Saint Laurent","Luxury fashion, accessories",France
8,Cartier,"Cartier Love, C-Bracelet","Luxury jewellery, watch",France
9,Balenciaga,Balenciaga Paris,Luxury fashion,"Spain, France"
10,Versace,"V-House, Versace Gang",Luxury fashion,Italy
11,Patek Philippe,Patek,Luxury watch & clock manufacturer,Switzerland
12,Ralph Lauren,,Fashion & lifestyle luxury,United States
13,Fendi,FendiGang,Luxury fashion & leather goods,Italy
14,Bottega Veneta,Bottega,Luxury fashion & leather goods,Italy
15,Burberry,Burberry's,British luxury fashion & outerwear,United Kingdom
16,Valentino,Valentino Garavani,"Luxury fashion, couture",Italy
17,Giorgio Armani,Armani,"Luxury fashion, suits, lifestyle",Italy
18,Dolce & Gabbana,"D&G, DG","Luxury fashion, accessories",Italy
19,BVLGARI,Bulgari,"Luxury jewellery, watches, accessories",Italy
20,Alexander McQueen,"McQueen, Alexander McQueen London","Luxury fashion, couture",United Kingdom
21,Nike,"Air Jordan, The Swoosh, Air Max","Sportswear, Streetwear",United States
22,Zara,Zara Home,Fast-fashion retail,Spain
23,Adidas,"Three Stripes, Adi","Sportswear, Streetwear",Germany
24,Rolex,"Rolex Oyster, R-Watch",Luxury watch,Switzerland
25,Uniqlo,,"Fast-fashion retail, lifestyle apparel",Japan
26,Coach,Coach New York,"Premium fashion, accessories",United States
27,H&M,Hennes & Mauritz,Fast-fashion retail,Sweden
28,Tiffany & Co.,"Tiffany, Tiffany's","Luxury jewellery, accessories",United States
29,Moncler,Moncler Genius,"Luxury outerwear, premium apparel","Italy, France"
30,Supreme,Supreme New York,"Streetwear, hype-luxury",United States
31,Swarovski,Swarovski Crystal,"Luxury jewellery, crystal accessories",Austria
32,Tom Ford,Tom Ford Beauty,"Luxury fashion, lifestyle, accessories",United States
33,Off-White,,"Luxury streetwear, fashion",Italy
34,Fenty,Fenty by Rihanna,"Luxury, premium fashion and beauty",United States
35,Levi's,,"Premium denim, apparel",United States
36,Guess,Guess Jeans,"Premium fashion, lifestyle",United States
37,Michael Kors,MK,"Luxury-accessible fashion, accessories",United States
38,Chopard,,"Luxury jewellery, watches",Switzerland
39,Christian Louboutin,Louboutin,"Luxury shoes, accessories",France
40,Ray Ban,"Ray-Ban, RayBan","Premium sunglasses, eyewear",United States
41,Puma,Puma SE,"Sportswear, Streetwear, footwear, apparel",Germany
42,Omega,Omega SA,"Luxury watches, timepieces",Switzerland
43,Givenchy,Maison Givenchy,"Luxury fashion, accessories",France
44,Hugo Boss,Hugo,"Luxury fashion, lifestyle",Germany
45,Audemars Piguet,Audemars,"Ultra-luxury watches, timepieces",Switzerland
46,Swatch,,"Watches, lifestyle timepieces",Switzerland
47,Calvin Klein,CK,"Premium fashion, lifestyle",United States
48,Balmain,,"Luxury fashion, street-luxury",France
49,Longines,,"Luxury watches, timepieces",Switzerland
50,Fossil,,"Fashion watches, accessories",United States
51,Tissot,T-Watch,"Premium fashion, lifestyle",Switzerland
52,Tommy Hilfiger,Tommy H,"Premium fashion, lifestyle",United States
53,Tag Heuer,,"Luxury watches, chronographs",Switzerland
54,Miu Miu,,"Luxury fashion, accessories",Italy
55,Richard Mille,,Ultra-luxury watches,Switzerland
56,Jimmy Choo,Choo,"Luxury shoes, accessories",United Kingdom
57,Yeezy,,"Premium streetwear, footwear",United States
58,Marc Jacobs,,"Fashion, accessories",United States
59,Maybach,,,
60,Reebok,,,
